"Iteration","LogProbability","CurrentDecryptedText....current.decryted.text","CorrectText....correct.text"
326,-156.257051755747,"zcmc ax xsdc xydfuc qcrq","here is some sample text"
327,-156.257051755747,"zcmc ax xsdc xydfuc qcrq","here is some sample text"
328,-156.257051755747,"zcmc ax xsdc xydfuc qcrq","here is some sample text"
329,-156.257051755747,"zcmc ax xvdc xydfuc qcrq","here is some sample text"
330,-156.257051755747,"zcmc ax xvdc xydfuc qcnq","here is some sample text"
331,-156.257051755747,"zcmc ax xvdc xydfuc qcnq","here is some sample text"
332,-156.257051755747,"zcmc ax xvdc xydfuc qcnq","here is some sample text"
333,-180.218266945586,"zcmc wx xvdc xydfuc qcnq","here is some sample text"
334,-180.218266945586,"zcmc wx xgdc xydfuc qcnq","here is some sample text"
335,-180.218266945586,"zcmc wn ngdc nydfuc qcxq","here is some sample text"
336,-180.218266945586,"scmc wn ngdc nydfuc qcxq","here is some sample text"
337,-180.218266945586,"scmc wn ngdc nydfic qcxq","here is some sample text"
338,-180.218266945586,"scmc wn ngdc nydfic qcxq","here is some sample text"
339,-180.218266945586,"scmc dn ngwc nywfic qcxq","here is some sample text"
340,-160.128847827666,"seme dn ngwe nywfie qexq","here is some sample text"
341,-180.218266945586,"swmw dn ngew nyefiw qwxq","here is some sample text"
342,-180.218266945586,"swmw dn niew nyefgw qwxq","here is some sample text"
343,-180.218266945586,"swmw dn niew nyefgw qwbq","here is some sample text"
344,-180.218266945586,"swmw dn niew nyefgw qwbq","here is some sample text"
345,-180.218266945586,"swmw dn niew nyefgw qwbq","here is some sample text"
346,-180.218266945586,"swmw dn niew nyefgw qwbq","here is some sample text"
347,-180.218266945586,"sbmb dn nieb nyefgb qbwq","here is some sample text"
348,-180.218266945586,"sbmb dn niyb neyfgb qbwq","here is some sample text"
349,-180.218266945586,"sbmb dn nitb netfgb qbwq","here is some sample text"
350,-180.218266945586,"sama dn nita netfga qawq","here is some sample text"
351,-180.218266945586,"sama dn nita netfga qawq","here is some sample text"
352,-180.218266945586,"smam dn nitm netfgm qmwq","here is some sample text"
353,-180.218266945586,"smam dn nxtm netfgm qmwq","here is some sample text"
354,-180.218266945586,"smfm dn nxtm netagm qmwq","here is some sample text"
355,-180.218266945586,"smfm dz zxtm zetagm qmwq","here is some sample text"
356,-180.218266945586,"smfm dz zxtm zetagm qmwq","here is some sample text"
357,-180.218266945586,"smgm dz zxtm zetafm qmwq","here is some sample text"
358,-180.218266945586,"smum dz zxtm zetafm qmwq","here is some sample text"
359,-180.218266945586,"smum dz zxtm zetafm cmwc","here is some sample text"
360,-180.218266945586,"smum dz zxtm zetafm cmwc","here is some sample text"
361,-180.218266945586,"smum vz zxtm zetafm cmwc","here is some sample text"
362,-180.218266945586,"smum kz zxtm zetafm cmwc","here is some sample text"
363,-180.218266945586,"smum fz zxtm zetakm cmwc","here is some sample text"
364,-180.218266945586,"smum fz zxtm zetakm cmwc","here is some sample text"
365,-180.218266945586,"smum fz zxim zeiakm cmwc","here is some sample text"
366,-180.218266945586,"smom fz zxim zeiakm cmwc","here is some sample text"
367,-180.218266945586,"scoc fz zxic zeiakc mcwm","here is some sample text"
368,-180.218266945586,"scoc fx xzic xeiakc mcwm","here is some sample text"
369,-180.218266945586,"scoc fx xzic xeiakc mcwm","here is some sample text"
370,-180.218266945586,"sjoj fx xzij xeiakj mjwm","here is some sample text"
371,-180.218266945586,"sjoj fx xzij xeiakj mjwm","here is some sample text"
372,-180.218266945586,"sjoj fx xzij xeiakj mjwm","here is some sample text"
373,-180.218266945586,"sjoj fx xzij xliakj mjwm","here is some sample text"
374,-180.218266945586,"sjoj fx xzij xliakj ejwe","here is some sample text"
